artist_name, tag_name, tag_count_pct
Andy Vaz,electronic,0.106061
Animal Collective,experimental,0.251256
Animal Collective,indie,0.168342
Animal Collective,freak folk,0.130653
Animal Trainer,minimal,0.2
Animal Trainer,techno,0.15
Animal Trainer,minimal techno,0.1
Animal Trainer,tech house,0.2
Animal Trainer,homegrown electro,0.1
Anja Schneider,minimal,0.28169
Anja Schneider,techno,0.140845
Anja Schneider,minimal techno,0.177465
Anja Schneider,electronic,0.112676
Anja Schneider & Sebo K,minimal,0.28169
Anja Schneider & Sebo K,techno,0.140845
Anja Schneider & Sebo K,minimal house,0.112676
Anna,minimal,0.222222
Anna,techno,0.144444
Anna,minimal techno,0.2
Ante Perry,minimal,0.276243
Ante Perry,electronic,0.143646
Ante Perry,House,0.129834
Anthony Collins,minimal,0.277778
Anthony Collins,techno,0.133333
Anthony Collins,minimal techno,0.111111
Anthony Rother,minimal,0.120401
Anthony Rother,techno,0.150502
Anthony Rother,electronic,0.177258
Anthony Rother,electro,0.334448
Antiguo Autómata Mexicano,minimal,0.110372
Antiguo Autómata Mexicano,minimal techno,0.132979
Antiguo Autómata Mexicano,electronic,0.110372
Antislash,minimal,0.138075
Antislash,techno,0.209205
Antislash,minimal techno,0.17364
Antislash,circus company,0.138075
Anton Kubikov,minimal,0.240964
Anton Kubikov,techno,0.127711
Anton Kubikov,minimal techno,0.101205
Anton Kubikov,electronic,0.154217
Anton Pieete,minimal,0.214133
Anton Pieete,techno,0.137045
Anton Pieete,minimal techno,0.152034
Anton Pieete,tech house,0.182013
Apoll,minimal techno,0.148148
Apoll,electronic,0.111111
Apoll,idm,0.111111
Apoll,tech house,0.111111
Applescal,minimal,0.167224
Applescal,techno,0.130435
Applescal,electronic,0.135452
Arandel,techno,0.143062
Arandel,deep techno,0.120172
Argy,minimal,0.224719
Argy,techno,0.116854
Argy,electronic,0.121348
Aril Brikha,minimal,0.125333
Aril Brikha,techno,0.266667
Aril Brikha,detroit techno,0.125333
Aril Brikha,deep techno,0.109333
Arul,minimal techno,0.555556
Asem Shama,minimal,0.294118
Asem Shama,techno,0.147059
Asem Shama,minimal techno,0.147059
Asem Shama,tech house,0.117647
Auch,minimal,0.160772
Auch,electronic,0.122186
Auch,ambient,0.110932
audiodump,minimal,0.238663
audiodump,minimal techno,0.210024
audiodump,experimental,0.157518
audiodump,deep techno,0.105012
Audiofly X,minimal,0.253165
Audiofly X,techno,0.205063
Audiofly X,minimal techno,0.164557
Audiofly X,electronic,0.118987
Audiojack,minimal,0.225225
Audiojack,techno,0.171171
Audiojack,electronic,0.117117
Audiojack,House,0.117117
Audion,minimal,0.25641
Audion,techno,0.2
Audion,minimal techno,0.189744
Audion,electronic,0.128205
audiossey,minimal,0.117429
audiossey,electronic,0.123609
Audision,minimal,0.218818
Audision,minimal techno,0.109409
Austin Cesear,techno,0.25
Austin Cesear,minimal techno,0.125
Austin Cesear,ambient,0.15
Austin Cesear,dub techno,0.25
Autistic,minimal,0.25
Autistic,techno,0.17
Autistic,minimal techno,0.23
Avatism,minimal techno,0.192678
Avatism,electronic,0.148362
Avatism,House,0.169557
Avatism,tech house,0.105973
Avatism,deep house,0.192678
Avus,techno,0.21645
Avus,electronic,0.132035
Avus,Progressive House,0.108225
Avus,Border Community,0.164502
Axel Bartsch,minimal,0.228833
Axel Bartsch,techno,0.194508
Axel Bartsch,minimal techno,0.194508
Axel Bartsch,Kompakt,0.1373
Axel Boman,minimal techno,0.156566
Axel Boman,House,0.189394
Axel Boman,deep house,0.252525
B. Fleischmann,electronic,0.196464
B. Fleischmann,electronica,0.102161
B. Fleischmann,idm,0.174853
B. Fleischmann,ambient,0.143418
Baby Ford & The Ifach Collective,techno,0.190476
Baby Ford & The Ifach Collective,minimal techno,0.125714
Baiyon,minimal,0.142857
Baiyon,minimal techno,0.178571
Baiyon,electronic,0.160714
Baiyon,video game music,0.107143
Barem,minimal,0.294118
Barem,techno,0.191176
Barem,minimal techno,0.173529
Barem,electronic,0.123529
Barker & Baumecker,techno,0.3003
Barker & Baumecker,minimal techno,0.192192
Barker & Baumecker,dub techno,0.276276
Basic Channel,minimal,0.15146
Basic Channel,techno,0.158759
Basic Channel,dub techno,0.182482
Basic Soul Unit,techno,0.251256
Basic Soul Unit,minimal techno,0.133166
Basic Soul Unit,House,0.100503
Basteroid,minimal,0.157282
Basteroid,techno,0.194175
Basteroid,electronic,0.120388
Basti Grub,minimal,0.21097
Basti Grub,minimal techno,0.189873
Basti Grub,electronic,0.14346
Basti Grub,tech house,0.132911
Basti Grub,tribal,0.113924
Basti Grub & Komaton,techno,0.214286
Basti Grub & Komaton,minimal techno,0.357143
Basti Grub & Komaton,electronic,0.214286
Basti Grub & Komaton,tech house,0.142857
Beckers & Hatfield,minimal,0.244499
Beckers & Hatfield,techno,0.198044
Beckers & Hatfield,minimal techno,0.151589
Beckers & Hatfield,electronic,0.151589
Beckers & Hatfield,progressive trance,0.105134
Ben Klock,minimal,0.209302
Ben Klock,techno,0.258398
Ben Klock,minimal techno,0.126615
Ben Klock,electronic,0.111111
Ben Parris,minimal,0.27248
Ben Parris,techno,0.114441
Ben Parris,minimal techno,0.231608
Benfay,minimal,0.198807
Bern,minimal,0.294118
Bern,minimal techno,0.117647
Billy Dalessandro,minimal,0.243902
Billy Dalessandro,techno,0.170732
Billy Dalessandro,minimal techno,0.134146
Biodub,techno,0.134715
Biodub,minimal techno,0.108808
Biodub,dub techno,0.518135
Bloody Mary,minimal,0.102703
Bloody Mary,Gothic Rock,0.108108
Bobby Peru,minimal,0.252525
Bobby Peru,minimal techno,0.143939
Bobby Peru,electronic,0.143939
Bodycode,techno,0.12708
Bodycode,electronic,0.151286
Bodycode,experimental,0.134644
Bodzin & Huntemann,minimal,0.215054
Bodzin & Huntemann,techno,0.133333
Bodzin & Huntemann,electronic,0.169892
Bodzin & Huntemann,electro,0.169892
Booka Shade,minimal,0.243902
Booka Shade,electronic,0.202439
Booka Shade,electro,0.121951
Booka Shade,House,0.119512
Boris Brejcha,minimal,0.298507
Boris Brejcha,techno,0.19403
Boris Brejcha,minimal techno,0.21194
Boris Brejcha,electronic,0.110448
Bozzwell,minimal techno,0.175385
Bozzwell,electronic,0.129231
Bozzwell,tech house,0.307692
Bozzwell,Bozzwel,0.129231
Brendon Moeller,techno,0.140725
Brendon Moeller,dub techno,0.21322
Brian Sanhaji,minimal,0.145594
Brian Sanhaji,techno,0.383142
Brian Sanhaji,minimal techno,0.16092
Broke,minimal,0.132275
Broke,Kompakt,0.109788
Broombeck,minimal,0.185874
Broombeck,techno,0.13197
Broombeck,minimal techno,0.157993
Broombeck,electronic,0.13197
Broombeck,tech house,0.13197
Bruno Pronsato,minimal,0.242131
Bruno Pronsato,techno,0.128329
Bruno Pronsato,minimal techno,0.169492
Bruno Pronsato,microhouse,0.116223
Bryan Zentz,minimal,0.127148
Bryan Zentz,techno,0.343643
Bryan Zentz,electronic,0.113402
Bukaddor & Fishbeck,minimal,0.25
Bukaddor & Fishbeck,techno,0.175
Bukaddor & Fishbeck,minimal techno,0.175
Bukaddor & Fishbeck,electronic,0.1025
Bukaddor & Fishbeck,tech house,0.1175
Burger / Voigt,minimal,0.25
Burger / Voigt,minimal techno,0.3125
Burger / Voigt,electronic,0.1875
Burger / Voigt,Kompakt,0.1875
Burnski,minimal,0.114155
Burnski,techno,0.13242
Burnski,minimal techno,0.114155
Burnski,House,0.114155
Burnski,tech house,0.22831
Butane,minimal,0.258398
Butane,techno,0.167959
Butane,minimal techno,0.136951
Butch,minimal,0.174737
Butch,techno,0.210526
BVoice,minimal,0.166667
BVoice,techno,0.208333
BVoice,minimal techno,0.208333
BVoice,electronic,0.125
Byetone,minimal,0.187204
Byetone,electronic,0.130332
Byetone,experimental,0.116114
Byetone,glitch,0.236967
Cabanne,minimal,0.201613
Cabanne,techno,0.120968
Camea,minimal,0.263158
Camea,minimal techno,0.263158
Cape,minimal,0.167785
Cape,minimal techno,0.167785
Cape,under 2000 listeners,0.110738
Cardo,minimal,0.247525
Cardo,techno,0.101485
Cardo,minimal techno,0.247525
Cardo,electronic,0.143564
Caribou,electronic,0.252525
Caribou,Canadian,0.103535
Caribou,experimental,0.156566
Caribou,indie,0.156566
Carl Craig & Moritz von Oswald,minimal,0.160878
Carl Craig & Moritz von Oswald,techno,0.120658
Carl Craig & Moritz von Oswald,electronic,0.182815
Carl Craig & Moritz von Oswald,modern classical,0.127971
Carsten Jost,minimal,0.208768
Carsten Jost,techno,0.118998
Carsten Jost,minimal techno,0.141962
Cassy,minimal,0.154412
Cassy,techno,0.102941
Cassy,deep house,0.183824
Catz 'n Dogz,minimal,0.163666
Catz 'n Dogz,tech house,0.139116
Chaim,minimal,0.212314
Chaim,techno,0.169851
Chaim,electronic,0.110403
Chaim,tech house,0.140127
Channel X,minimal,0.117083
Channel X,techno,0.15739
Channel X,electronic,0.134357
Channel X,Rave,0.191939
Chelonis R. Jones,minimal,0.12807
Chelonis R. Jones,electronic,0.175439
Chelonis R. Jones,electro,0.112281
Chelonis R. Jones,House,0.138596
Chet Faker,downtempo,0.198413
Chet Faker,Lo-Fi,0.107143
Chet Faker,post-dubstep,0.130952
Chevel,minimal,0.10585
Chevel,techno,0.278552
Chevel,minimal techno,0.222841
Chevel,electronic,0.116992
Chevel,tech house,0.169916
Chic Miniature,minimal,0.202429
Chic Miniature,minimal techno,0.202429
Chic Miniature,tech house,0.202429
Chopstick & Johnjon,minimal,0.162075
Chopstick & Johnjon,electronic,0.106969
Chopstick & Johnjon,deep house,0.106969
Chris Lattner,minimal,0.187617
Chris Lattner,minimal techno,0.140713
Chris Lattner,deep house,0.116323
Chris Lattner,All,0.116323
Chris Wood & Meat,minimal,0.2
Chris Wood & Meat,minimal techno,0.25
Chris Wood & Meat,electronic,0.1
Chris Wood & Meat,House,0.15
Chris Wood & Meat,tech house,0.15
Christian Bloch,minimal,0.161812
Christian Bloch,techno,0.139159
Christian Bloch,minimal techno,0.118123
Christian Burkhardt,minimal,0.158
Christian Burkhardt,techno,0.1
Christian Burkhardt,tech house,0.2
Christian Dittmann,minimal,0.277008
Christian Dittmann,techno,0.149584
Christian Dittmann,minimal techno,0.149584
Christian Löffler,minimal,0.160772
Christian Löffler,techno,0.110932
Christian Löffler,minimal techno,0.104502
Christian Löffler,electronic,0.117363
Christian Morgenstern,techno,0.192678
Christian Morgenstern,electronic,0.152216
Christian Prommer,german,0.127168
Christian Prommer,jazz,0.175337
Christian Prommer,nu jazz,0.192678
Christian Prommer,nu-jazz,0.111753
Christopher Just,techno,0.171233
Christopher Just,electronic,0.136986
Christopher Just,electro,0.121575
Christopher Rau,minimal,0.17452
Christopher Rau,techno,0.17452
Christopher Rau,House,0.132635
Christopher Rau,deep house,0.146597
Chymera,minimal,0.144231
Chymera,techno,0.160256
Chymera,electronic,0.112179
Chymera,tech house,0.105769
Cio D'or,minimal,0.1766
Cio D'or,techno,0.220751
