id,stationName,availableDocks,totalDocks,latitude,longitude,statusValue,availableBikes,stAddress1,city,postalCode,location,pct_available,distance_from_request
243,Fulton St & Rockwell Pl,25,39,40.688265,-73.979244,In Service,14,Fulton St & Rockwell Pl,,,,0.358974358974359,2.3820463124538085
244,Willoughby Ave & Hall St,25,31,40.69196035,-73.96536851,In Service,6,Willoughby Ave & Hall St,,,,0.1935483870967742,3.217729297461941
245,Myrtle Ave & St Edwards St,17,23,40.69327018,-73.97703874,In Service,6,Myrtle Ave & St Edwards St,,,,0.2608695652173913,2.250103309765254
247,Perry St & Bleecker St,3,20,40.73535398,-74.00483091,In Service,17,Perry St & Bleecker St,,,,0.85,3.762578021622306
248,Laight St & Hudson St,21,23,40.72185379,-74.00771779,In Service,2,Laight St & Hudson St,,,,0.08695652173913043,2.3135118534120758
249,Harrison St & Hudson St,12,27,40.71870987,-74.0090009,In Service,15,Harrison St & Hudson St,,,,0.5555555555555556,2.0071037157565343
250,Lafayette St & Jersey St,14,40,40.72456089,-73.99565293,In Service,26,Lafayette St & Jersey St,,,,0.65,2.597227065045551
251,Mott St & Prince St,1,27,40.72317958,-73.99480012,In Service,26,Mott St & Prince St,,,,0.9629629629629629,2.4617510051731264
252,MacDougal St & Washington Sq,11,33,40.73226398,-73.99852205,In Service,22,MacDougal St & Washington Sq,,,,0.6666666666666666,3.4164950783344223
253,W 13 St & 5 Ave,19,47,40.73543934,-73.99453948,In Service,28,W 13 St & 5 Ave,,,,0.5957446808510638,3.8047663777303553
254,W 11 St & 6 Ave,9,31,40.73532427,-73.99800419,In Service,22,W 11 St & 6 Ave,,,,0.7096774193548387,3.7588501059666255
257,Lispenard St & Broadway,20,39,40.71939226,-74.00247214,In Service,19,Lispenard St & Broadway,,,,0.48717948717948717,1.9797354606505901
258,DeKalb Ave & Vanderbilt Ave,10,23,40.68940747,-73.96885458,In Service,13,DeKalb Ave & Vanderbilt Ave,,,,0.5652173913043478,3.0571096362072265
259,South St & Whitehall St,21,39,40.70122128,-74.01234218,In Service,18,South St & Whitehall St,,,,0.46153846153846156,0.924147621041515
260,Broad St & Bridge St,35,35,40.70365182,-74.01167797,In Service,0,Broad St & Bridge St,,,,0.0,0.8968218073467491
261,Johnson St & Gold St,17,27,40.69474881,-73.98362464,In Service,10,Johnson St & Gold St,,,,0.37037037037037035,1.6785644674391051
262,Washington Park,22,24,40.69178232,-73.97372989,In Service,2,Washington Park,,,,0.08333333333333333,2.572481676378239
263,Elizabeth St & Hester St,22,31,40.71729,-73.996375,In Service,9,Elizabeth St & Hester St,,,,0.2903225806451613,1.7943064514399678
264,Maiden Ln & Pearl St,15,27,40.70706456,-74.00731853,In Service,12,Maiden Ln & Pearl St,,,,0.4444444444444444,0.7869288283917957
265,Stanton St & Chrystie St,26,35,40.72229346,-73.99147535,In Service,9,Stanton St & Chrystie St,,,,0.2571428571428571,2.4467530773677955
266,Avenue D & E 8 St,17,24,40.72368361,-73.97574813,In Service,7,Avenue D & E 8 St,,,,0.2916666666666667,3.269129975966104
267,Broadway & W 36 St,53,57,40.75097711,-73.98765428,In Service,4,Broadway & W 36 St,,,,0.07017543859649122,5.607966170171517
268,Howard St & Centre St,23,27,40.71910537,-73.99973337,In Service,4,Howard St & Centre St,,,,0.14814814814814814,1.95069022501383
270,Adelphi St & Myrtle Ave,16,23,40.69308257,-73.97178913,In Service,7,Adelphi St & Myrtle Ave,,,,0.30434782608695654,2.666822092103961
271,Ashland Pl & Hanson Pl,22,39,40.68528172,-73.97805813,In Service,17,Ashland Pl & Hanson Pl,,,,0.4358974358974359,2.6737956085632124
274,Lafayette Ave & Fort Greene Pl,26,31,40.68691865,-73.976682,In Service,5,Lafayette Ave & Fort Greene Pl,,,,0.16129032258064516,2.6442010386172274
275,Washington Ave & Greene Ave,12,15,40.68650065,-73.96563307,In Service,3,Washington Ave & Greene Ave,,,,0.2,3.447772375460697
276,Duane St & Greenwich St,5,25,40.71748752,-74.0104554,In Service,20,Duane St & Greenwich St,,,,0.8,1.9241911963010516
278,Concord St & Bridge St,13,19,40.69766564,-73.98476437,In Service,6,Concord St & Bridge St,,,,0.3157894736842105,1.466688623965592
279,Sands St & Gold St,13,19,40.69986937,-73.98271933,In Service,6,Sands St & Gold St,,,,0.3157894736842105,1.5840763011434835
280,E 10 St & 5 Ave,2,31,40.73331967,-73.99510132,In Service,29,E 10 St & 5 Ave,,,,0.9354838709677419,3.564786027461483
281,Grand Army Plaza & Central Park S,59,59,40.7643971,-73.97371465,In Service,0,Grand Army Plaza & Central Park S,,,,0.0,7.357430863388641
282,Kent Ave & S 11 St,24,27,40.70827295,-73.96834101,In Service,3,Kent Ave & S 11 St,,,,0.1111111111111111,2.880757860111084
284,Greenwich Ave & 8 Ave,17,43,40.7390169121,-74.0026376103,In Service,26,Greenwich Ave & 8 Ave,,,,0.6046511627906976,4.159743763498501
285,Broadway & E 14 St,34,47,40.73454567,-73.99074142,In Service,13,Broadway & E 14 St,,,,0.2765957446808511,3.769651950687651
289,Monroe St & Classon Ave,17,19,40.6845683,-73.95881081,In Service,2,Monroe St & Classon Ave,,,,0.10526315789473684,4.055528527869703
290,2 Ave & E 58 St,6,29,40.76020258,-73.96478473,In Service,23,2 Ave & E 58 St,,,,0.7931034482758621,7.205080562171718
291,Madison St & Montgomery St,11,20,40.713126,-73.984844,In Service,9,Madison St & Montgomery St,,,,0.45,1.8928501302746277
293,Lafayette St & E 8 St,23,55,40.73028666,-73.9907647,In Service,32,Lafayette St & E 8 St,,,,0.5818181818181818,3.311333215844715
294,Washington Square E,16,31,40.73049393,-73.9957214,In Service,15,Washington Square E,,,,0.4838709677419355,3.2465070434938648
295,Pike St & E Broadway,21,24,40.71406667,-73.99293911,In Service,3,Pike St & E Broadway,,,,0.125,1.5577153927699627
296,Division St & Bowery,11,35,40.71413089,-73.9970468,In Service,24,Division St & Bowery,,,,0.6857142857142857,1.4400522066931738
