id,stationName,availableDocks,totalDocks,latitude,longitude,statusValue,availableBikes,stAddress1,city,postalCode,location
260,Broad St & Bridge St,34,35,40.70365182,-74.01167797,In Service,1,Broad St & Bridge St,,,
261,Johnson St & Gold St,22,27,40.69474881,-73.98362464,In Service,5,Johnson St & Gold St,,,
262,Washington Park,24,24,40.69178232,-73.97372989,In Service,0,Washington Park,,,
263,Elizabeth St & Hester St,10,31,40.71729,-73.996375,In Service,21,Elizabeth St & Hester St,,,
264,Maiden Ln & Pearl St,22,27,40.70706456,-74.00731853,In Service,5,Maiden Ln & Pearl St,,,
265,Stanton St & Chrystie St,2,35,40.72229346,-73.99147535,In Service,33,Stanton St & Chrystie St,,,
266,Avenue D & E 8 St,20,24,40.72368361,-73.97574813,In Service,4,Avenue D & E 8 St,,,
267,Broadway & W 36 St,46,57,40.75097711,-73.98765428,In Service,11,Broadway & W 36 St,,,
268,Howard St & Centre St,6,27,40.71910537,-73.99973337,In Service,21,Howard St & Centre St,,,
270,Adelphi St & Myrtle Ave,14,23,40.69308257,-73.97178913,In Service,9,Adelphi St & Myrtle Ave,,,
271,Ashland Pl & Hanson Pl,5,39,40.68528172,-73.97805813,In Service,34,Ashland Pl & Hanson Pl,,,
274,Lafayette Ave & Fort Greene Pl,28,31,40.68691865,-73.976682,In Service,3,Lafayette Ave & Fort Greene Pl,,,
275,Washington Ave & Greene Ave,14,15,40.68650065,-73.96563307,In Service,1,Washington Ave & Greene Ave,,,
276,Duane St & Greenwich St,17,25,40.71748752,-74.0104554,In Service,8,Duane St & Greenwich St,,,
278,Concord St & Bridge St,11,19,40.69766564,-73.98476437,In Service,8,Concord St & Bridge St,,,
279,Sands St & Gold St,17,19,40.69986937,-73.98271933,In Service,2,Sands St & Gold St,,,
280,E 10 St & 5 Ave,29,31,40.73331967,-73.99510132,In Service,2,E 10 St & 5 Ave,,,
281,Grand Army Plaza & Central Park S,15,59,40.7643971,-73.97371465,In Service,44,Grand Army Plaza & Central Park S,,,
282,Kent Ave & S 11 St,21,27,40.70827295,-73.96834101,In Service,6,Kent Ave & S 11 St,,,
284,Greenwich Ave & 8 Ave,31,43,40.7390169121,-74.0026376103,In Service,12,Greenwich Ave & 8 Ave,,,
285,Broadway & E 14 St,5,47,40.73454567,-73.99074142,In Service,42,Broadway & E 14 St,,,
289,Monroe St & Classon Ave,12,19,40.6845683,-73.95881081,In Service,7,Monroe St & Classon Ave,,,
290,2 Ave & E 58 St,27,29,40.76020258,-73.96478473,In Service,2,2 Ave & E 58 St,,,
291,Madison St & Montgomery St,15,20,40.713126,-73.984844,In Service,5,Madison St & Montgomery St,,,
293,Lafayette St & E 8 St,2,55,40.73028666,-73.9907647,In Service,53,Lafayette St & E 8 St,,,
294,Washington Square E,3,31,40.73049393,-73.9957214,In Service,28,Washington Square E,,,
295,Pike St & E Broadway,13,24,40.71406667,-73.99293911,In Service,11,Pike St & E Broadway,,,
296,Division St & Bowery,5,35,40.71413089,-73.9970468,In Service,30,Division St & Bowery,,,
297,E 15 St & 3 Ave,15,27,40.734232,-73.986923,In Service,12,E 15 St & 3 Ave,,,
298,3 Ave & Flatbush Ave,24,35,40.68683208,-73.9796772,In Service,11,3 Ave & Flatbush Ave,,,
300,Shevchenko Pl & E 6 St,17,55,40.728145,-73.990214,In Service,38,Shevchenko Pl & E 6 St,,,
301,E 2 St & Avenue B,36,37,40.72217444,-73.98368779,In Service,1,E 2 St & Avenue B,,,
302,Avenue D & E 3 St,23,23,40.72082834,-73.97793172,In Service,0,Avenue D & E 3 St,,,
303,Mercer St & Spring St,2,31,40.72362738,-73.99949601,In Service,29,Mercer St & Spring St,,,
304,Broadway & Battery Pl,22,36,40.70463334,-74.01361706,In Service,14,Broadway & Battery Pl,,,
305,E 58 St & 3 Ave,20,33,40.76095756,-73.96724467,In Service,13,E 58 St & 3 Ave,,,
306,Cliff St & Fulton St,27,37,40.70823502,-74.00530063,In Service,10,Cliff St & Fulton St,,,
307,Canal St & Rutgers St,27,31,40.71427487,-73.98990025,In Service,4,Canal St & Rutgers St,,,
308,St James Pl & Oliver St,5,27,40.71307916,-73.99851193,In Service,22,St James Pl & Oliver St,,,
309,Murray St & West St,16,41,40.7149787,-74.013012,In Service,25,Murray St & West St,,,
310,State St & Smith St,7,35,40.68926942,-73.98912867,In Service,28,State St & Smith St,,,
311,Norfolk St & Broome St,24,30,40.7172274,-73.98802084,In Service,6,Norfolk St & Broome St,,,
312,Allen St & E Houston St,24,31,40.722055,-73.989111,In Service,7,Allen St & E Houston St,,,
313,Washington Ave & Park Ave,17,23,40.69610226,-73.96751037,In Service,6,Washington Ave & Park Ave,,,
314,Montague St & Clinton St,39,39,40.69424674,-73.99215922,In Service,0,Montague St & Clinton St,,,
315,South St & Gouverneur Ln,8,29,40.70355377,-74.00670227,In Service,21,South St & Gouverneur Ln,,,
316,Fulton St & William St,40,43,40.70955958,-74.00653609,In Service,3,Fulton St & William St,,,
317,E 6 St & Avenue B,25,27,40.72453734,-73.98185424,In Service,2,E 6 St & Avenue B,,,
318,E 43 St & Vanderbilt Ave,14,31,40.75320159,-73.9779874,In Service,17,E 43 St & Vanderbilt Ave,,,
319,Park Pl & Church St,17,35,40.71336124,-74.00937622,In Service,18,Park Pl & Church St,,,
320,Church St & Leonard St,19,39,40.71743998,-74.00583475,In Service,20,Church St & Leonard St,,,
321,Cadman Plaza E & Red Cross Pl,24,27,40.69991755,-73.98971773,In Service,3,Cadman Plaza E & Red Cross Pl,,,
322,Clinton St & Tillary St,30,31,40.696192,-73.991218,In Service,1,Clinton St & Tillary St,,,
323,Lawrence St & Willoughby St,35,39,40.69236178,-73.98631746,In Service,4,Lawrence St & Willoughby St,,,
324,DeKalb Ave & Hudson Ave,11,51,40.689888,-73.981013,In Service,40,DeKalb Ave & Hudson Ave,,,
325,E 19 St & 3 Ave,20,35,40.73624527,-73.98473765,In Service,15,E 19 St & 3 Ave,,,
326,E 11 St & 1 Ave,21,27,40.72953837,-73.98426726,In Service,6,E 11 St & 1 Ave,,,
327,Vesey Pl & River Terrace,37,39,40.7153379,-74.01658354,In Service,2,Vesey Pl & River Terrace,,,
328,Watts St & Greenwich St,20,23,40.72405549,-74.00965965,In Service,3,Watts St & Greenwich St,,,
329,Greenwich St & N Moore St,18,31,40.72043411,-74.01020609,In Service,13,Greenwich St & N Moore St,,,
330,Reade St & Broadway,32,39,40.71450451,-74.00562789,In Service,7,Reade St & Broadway,,,
331,Pike St & Monroe St,17,27,40.71173107,-73.99193043,In Service,10,Pike St & Monroe St,,,
332,Cherry St,12,24,40.71219906,-73.97948148,In Service,12,Cherry St,,,
334,W 20 St & 7 Ave,4,31,40.74238787,-73.99726235,In Service,27,W 20 St & 7 Ave,,,
335,Washington Pl & Broadway,1,27,40.72903917,-73.99404649,In Service,26,Washington Pl & Broadway,,,
336,Sullivan St & Washington Sq,9,36,40.73047747,-73.99906065,In Service,27,Sullivan St & Washington Sq,,,
337,Old Slip & Front St,30,37,40.7037992,-74.00838676,In Service,7,Old Slip & Front St,,,
339,Avenue D & E 12 St,22,24,40.72580614,-73.97422494,In Service,2,Avenue D & E 12 St,,,
340,Madison St & Clinton St,16,27,40.71269042,-73.98776323,In Service,11,Madison St & Clinton St,,,
341,Stanton St & Mangin St,8,18,40.71782143,-73.97628939,In Service,10,Stanton St & Mangin St,,,
342,Columbia St & Rivington St,25,29,40.71739973,-73.98016555,In Service,4,Columbia St & Rivington St,,,
343,Clinton Ave & Flushing Ave,5,23,40.69794,-73.96986848,In Service,18,Clinton Ave & Flushing Ave,,,
344,Monroe St & Bedford Ave,16,23,40.6851443,-73.95380904,In Service,7,Monroe St & Bedford Ave,,,
345,W 13 St & 6 Ave,10,35,40.73649403,-73.99704374,In Service,25,W 13 St & 6 Ave,,,
346,Bank St & Hudson St,16,27,40.73652889,-74.00618026,In Service,11,Bank St & Hudson St,,,
347,W Houston St & Hudson St,7,35,40.72873888,-74.00748842,In Service,28,W Houston St & Hudson St,,,
348,W Broadway & Spring St,3,42,40.72490985,-74.00154702,In Service,39,W Broadway & Spring St,,,
349,Rivington St & Ridge St,21,23,40.71850211,-73.98329859,In Service,2,Rivington St & Ridge St,,,
350,Clinton St & Grand St,27,28,40.71559509,-73.9870295,In Service,1,Clinton St & Grand St,,,
351,Front St & Maiden Ln,33,39,40.70530954,-74.00612572,In Service,6,Front St & Maiden Ln,,,
352,W 56 St & 6 Ave,24,36,40.76340613,-73.97722479,In Service,12,W 56 St & 6 Ave,,,
353,S Portland Ave & Hanson Pl,27,27,40.68539567,-73.97431458,In Service,0,S Portland Ave & Hanson Pl,,,
354,Emerson Pl & Myrtle Ave,14,31,40.69363137,-73.96223558,In Service,17,Emerson Pl & Myrtle Ave,,,
355,Bayard St & Baxter St,8,43,40.71602118,-73.99974372,In Service,35,Bayard St & Baxter St,,,
356,Bialystoker Pl & Delancey St,23,23,40.71622644,-73.98261206,In Service,0,Bialystoker Pl & Delancey St,,,
357,E 11 St & Broadway,6,27,40.73261787,-73.99158043,In Service,21,E 11 St & Broadway,,,
358,Christopher St & Greenwich St,34,36,40.73291553,-74.00711384,In Service,2,Christopher St & Greenwich St,,,
359,E 47 St & Park Av,24,55,40.75510267,-73.97498696,In Service,31,E 47 St & Park Ave,,,
360,William St & Pine St,37,39,40.70717936,-74.00887308,In Service,2,William St & Pine St,,,
361,Allen St & Hester St,37,43,40.71605866,-73.99190759,In Service,6,Allen St & Hester St,,,
362,Broadway & W 37 St,51,57,40.75172632,-73.98753523,In Service,6,Broadway & W 37 St,,,
363,West Thames St,48,49,40.70834698,-74.01713445,In Service,1,West Thames St,,,
364,Lafayette Ave & Classon Ave,27,27,40.68900443,-73.96023854,In Service,0,Lafayette Ave & Classon Ave,,,
365,Fulton St & Grand Ave,29,31,40.68223166,-73.9614583,In Service,2,Fulton St & Grand Ave,,,
366,Clinton Ave & Myrtle Ave,22,33,40.693261,-73.968896,In Service,11,Clinton Ave & Myrtle Ave,,,
367,E 53 St & Lexington Ave,24,33,40.75828065,-73.97069431,In Service,9,E 53 St & Lexington Ave,,,
368,Carmine St & 6 Ave,11,39,40.73038599,-74.00214988,In Service,28,Carmine St & 6 Ave,,,
369,Washington Pl & 6 Ave,13,35,40.73224119,-74.00026394,In Service,22,Washington Pl & 6 Ave,,,
372,Franklin Ave & Myrtle Ave,24,27,40.694528,-73.958089,In Service,3,Franklin Ave & Myrtle Ave,,,
373,Willoughby Ave & Walworth St,14,19,40.69331716,-73.95381995,In Service,5,Willoughby Ave & Walworth St,,,
375,Mercer St & Bleecker St,2,30,40.72679454,-73.99695094,In Service,28,Mercer St & Bleecker St,,,
376,John St & William St,37,43,40.70862144,-74.00722156,In Service,6,John St & William St,,,
377,6 Ave & Canal St,24,47,40.72243797,-74.00566443,In Service,23,6 Ave & Canal St,,,
379,W 31 St & 7 Ave,11,42,40.749156,-73.9916,In Service,31,W 31 St & 7 Ave,,,
380,W 4 St & 7 Ave S,24,39,40.73401143,-74.00293877,In Service,15,W 4 St & 7 Ave S,,,
382,University Pl & E 14 St,5,36,40.73492695,-73.99200509,In Service,31,University Pl & E 14 St,,,
383,Greenwich Ave & Charles St,10,39,40.735238,-74.000271,In Service,29,Greenwich Ave & Charles St,,,
384,Fulton St & Waverly Ave,12,31,40.68317813,-73.9659641,In Service,19,Fulton St & Waverly Ave,,,
385,E 55 St & 2 Ave,28,29,40.75797322,-73.96603308,In Service,1,E 55 St & 2 Ave,,,
386,Centre St & Worth St,32,43,40.71494807,-74.00234482,In Service,11,Centre St & Worth St,,,
387,Centre St & Chambers St,24,39,40.71273266,-74.0046073,In Service,15,Centre St & Chambers St,,,
388,W 26 St & 10 Ave,28,35,40.749717753,-74.002950346,In Service,7,W 26 St & 10 Ave,,,
389,Broadway & Berry St,23,27,40.71044554,-73.96525063,In Service,4,Broadway & Berry St,,,
390,Duffield St & Willoughby St,27,31,40.69221589,-73.9842844,In Service,4,Duffield St & Willoughby St,,,
391,Clark St & Henry St,31,31,40.69760127,-73.99344559,In Service,0,Clark St & Henry St,,,
392,Jay St & Tech Pl,27,32,40.695065,-73.987167,In Service,5,Jay St & Tech Pl,,,
393,E 5 St & Avenue C,27,31,40.72299208,-73.97995466,In Service,4,E 5 St & Avenue C,,,
394,E 9 St & Avenue C,30,32,40.72521311,-73.97768752,In Service,2,E 9 St & Avenue C,,,
395,Bond St & Schermerhorn St,28,30,40.68807003,-73.98410637,In Service,2,Bond St & Schermerhorn St,,,
396,Lefferts Pl & Franklin Ave,23,25,40.680342423,-73.9557689392,In Service,2,Lefferts Pl & Franklin Ave,,,Bedford-Stuyvesant
397,Fulton St & Clermont Ave,25,27,40.68415748,-73.96922273,In Service,2,Fulton St & Clermont Ave,,,
